"governorate_ID","country_name","country_ID","governorate_name","calc_price_petrol","calc_price_diesel","calc_price_bottled_water","calc_price_treated_water","calc_price_soap","calc_price_laundry","calc_price_sanitary","cost_cubic_meter","smeb_soap","smeb_laundry","smeb_napkins","smeb_cubic","smeb_total"
"YE13","Yemen","YE","Amanat Al Asimah",365,430,100,80,110,100,550,1333,1155,2000,1100,4198.95,8453.95
"YE14","Yemen","YE","Al Bayda",750,700,120,100,130,150,630,4500,1365,3000,1260,14175,19800
"YE15","Yemen","YE","Taizz",412.5,407.5,122.5,100,140,105,525,2000,1470,2100,1050,6300,10920
"YE17","Yemen","YE","Hajjah",650,440,120,125,147.5,100,525,3125,1548.75,2000,1050,9843.75,14442.5
"YE18","Yemen","YE","Al Hudaydah",430,430,120,110,130,100,350,1875,1365,2000,700,5906.25,9971.25
"YE20","Yemen","YE","Dhamar",875,938,140,400,120,140,750,3500,1260,2800,1500,11025,16585
"YE21","Yemen","YE","Shabwah",355,357.5,100,100,120,120,500,1980,1260,2400,1000,6237,10897
"YE22","Yemen","YE","Sa'ada",485,400,145,100,125,165,700,1100,1312.5,3300,1400,3465,9477.5
"YE23","Yemen","YE","Sana'a",365,430,100,70,150,100,500,1500,1575,2000,1000,4725,9300
"YE24","Yemen","YE","Aden",315,365,137.5,137.5,135,87.5,512.5,4125,1417.5,1750,1025,12993.75,17186.25
"YE25","Yemen","YE","Lahj",315,360,150,130,122.5,125,525,1000,1286.25,2500,1050,3150,7986.25
"YE29","Yemen","YE","Amran",365,430,110,375,150,100,812.25,1050,1575,2000,1624.5,3307.5,8507
"YE32","Yemen","YE","Socotra",235,235,130,NA,150,130,650,800,1575,2600,1300,2520,7995
